 Length,Indentation,Comments,Non-Dic,Keywords,Separators,Operators,Number of words,StopWords,Stop Word Ratio,Score,STD StopWord,STD Score ,
6,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
56,0.5,0,0,0,0,0,9,4,0.071428571,4.46E-04,0.640405253,-0.383085059, text
2,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
4,1,0,0,0,0,0,1,1,0.25,0.0125,3.449099728,0.321327449, text
6,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
47,0.333333333,0,0,0,0,0,8,6,0.127659574,3.55E-04,1.524845215,-0.388450954, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
434,1.333333333,2,0,10,26,9,55,21,0.048387097,0.021006144,0.277993063,0.818427793, code
6,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, code
21,0,0,0,0,0,0,2,0,0,0,-0.483072537,-0.409174411, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
17,0,0,0,0,0,0,3,2,0.117647059,0,1.36736147,-0.409174411, text
7,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
57,0.5,0,0,1,0,0,10,5,0.087719298,4.39E-04,0.89663703,-0.383542767, text
21,0,0,0,0,0,0,2,0,0,0,-0.483072537,-0.409174411, text
75,0.333333333,0,0,0,0,0,14,8,0.106666667,2.22E-04,1.194654296,-0.396187711, text
6,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
20,0,0,0,1,0,1,4,2,0.1,0.015,1.089796369,0.467427821, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
15,0,0,0,0,0,0,3,2,0.133333333,0,1.614086004,-0.409174411, text
6,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
78,0.5,0,0,0,0,0,14,9,0.115384615,3.21E-04,1.331776201,-0.390443594, text
2,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
315,0,0,1,1,4,0,50,24,0.076190476,0.003412698,0.715303772,-0.209735808, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
11,0,0,0,0,0,1,1,0,0,0.027272727,-0.483072537,1.184647829, text
62,1,0,0,1,0,0,9,3,0.048387097,8.06E-04,0.277993063,-0.362045258, text
6,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
34,0.5,0,0,1,0,0,4,1,0.029411765,7.35E-04,-0.020464035,-0.366203713, text
2,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
154,0.333333333,0,0,1,0,0,25,13,0.084415584,1.08E-04,0.844673942,-0.402849719, text
6,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
6,0,0,0,0,0,0,1,1,0.166666667,0,2.13837564,-0.409174411, text
2,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
34,0.5,0,0,0,0,0,5,3,0.088235294,7.35E-04,0.904752968,-0.366203713, text
13,1.75,0,0,0,0,0,0,0,0,0.006730769,-0.483072537,-0.015827255, text
18,0,0,0,1,0,0,3,1,0.055555556,0,0.390743522,-0.409174411, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
7,0,0,0,0,0,0,1,0,0,0,-0.483072537,-0.409174411, text
6,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
118,0.333333333,0,0,0,0,2,18,9,0.076271186,0.005225989,0.716573239,-0.103766853, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
9,0,0,0,0,0,0,2,1,0.111111111,0,1.264559581,-0.409174411, text
30,0,0,0,0,0,0,5,2,0.066666667,0,0.565506734,-0.409174411, text
12,0,0,1,1,0,1,2,0,0,0.039583333,-0.483072537,1.90408148, code
27,0,0,0,1,0,0,4,2,0.074074074,0,0.682015542,-0.409174411, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
13,0,0,0,0,0,0,2,1,0.076923077,0,0.726826621,-0.409174411, text
92,0,0,0,1,0,0,14,4,0.043478261,0,0.200783509,-0.409174411, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
11,0,0,0,0,0,0,2,0,0,0,-0.483072537,-0.409174411, text
62,0,0,0,0,0,0,11,5,0.080645161,0,0.785370129,-0.409174411, text
5,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
9,2,0,0,0,0,0,1,1,0.111111111,0.011111111,1.264559581,0.240160576, text
7,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
91,2.5,0,0,0,0,0,10,3,0.032967033,0.001373626,0.035455674,-0.328899481, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
4,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
16,0,0,1,0,0,0,1,0,0,0.0109375,-0.483072537,0.230014717, text
11,0,0,1,0,0,0,2,0,0,0.015909091,-0.483072537,0.520555229, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
11,0,0,0,0,0,0,2,0,0,0,-0.483072537,-0.409174411, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
